artifact_id,required_field,value_source,normalized_value_present
phase20_m04,latency_model_version,source_manifest_exact_or_alias,True
phase20_m04,creation_timestamp,source_manifest_exact_or_alias,True
phase20_m05,generator_version,source_manifest_exact_or_alias,True
phase20_m05,configuration_hash,source_manifest_exact_or_alias,True
phase20_m05,random_seed,source_manifest_exact_or_alias,True
phase20_m05,calibration_dataset_id,source_manifest_exact_or_alias,True
phase20_m05,ticker_metadata_version,source_manifest_exact_or_alias,True
phase20_m05,regime_calendar_version,source_manifest_exact_or_alias,True
phase20_m05,scenario_ids,source_manifest_exact_or_alias,True
phase20_m05,cost_model_version,source_manifest_exact_or_alias,True
phase20_m05,latency_model_version,source_manifest_exact_or_alias,True
phase20_m05,creation_timestamp,source_manifest_exact_or_alias,True
phase20_m06,generator_version,source_manifest_exact_or_alias,True
phase20_m06,configuration_hash,source_manifest_exact_or_alias,True
phase20_m06,random_seed,source_manifest_exact_or_alias,True
phase20_m06,calibration_dataset_id,source_manifest_exact_or_alias,True
phase20_m06,ticker_metadata_version,source_manifest_exact_or_alias,True
phase20_m06,regime_calendar_version,source_manifest_exact_or_alias,True
phase20_m06,scenario_ids,source_manifest_exact_or_alias,True
phase20_m06,cost_model_version,source_manifest_exact_or_alias,True
phase20_m06,latency_model_version,source_manifest_exact_or_alias,True
phase20_m06,creation_timestamp,source_manifest_exact_or_alias,True
phase20_m07,generator_version,source_manifest_exact_or_alias,True
phase20_m07,configuration_hash,source_manifest_exact_or_alias,True
phase20_m07,random_seed,source_manifest_exact_or_alias,True
phase20_m07,calibration_dataset_id,source_manifest_exact_or_alias,True
phase20_m07,ticker_metadata_version,source_manifest_exact_or_alias,True
phase20_m07,regime_calendar_version,source_manifest_exact_or_alias,True
phase20_m07,scenario_ids,source_manifest_exact_or_alias,True
phase20_m07,cost_model_version,source_manifest_exact_or_alias,True
phase20_m07,latency_model_version,source_manifest_exact_or_alias,True
phase20_m07,creation_timestamp,source_manifest_exact_or_alias,True
horizon_readiness,generator_version,source_manifest_exact_or_alias,True
horizon_readiness,configuration_hash,source_manifest_exact_or_alias,True
horizon_readiness,random_seed,source_manifest_exact_or_alias,True
horizon_readiness,calibration_dataset_id,source_manifest_exact_or_alias,True
horizon_readiness,ticker_metadata_version,source_manifest_exact_or_alias,True
horizon_readiness,regime_calendar_version,source_manifest_exact_or_alias,True
horizon_readiness,scenario_ids,source_manifest_exact_or_alias,True
horizon_readiness,cost_model_version,source_manifest_exact_or_alias,True
horizon_readiness,latency_model_version,source_manifest_exact_or_alias,True
horizon_readiness,creation_timestamp,source_manifest_exact_or_alias,True
dashboard,generator_version,source_manifest_exact_or_alias,True
dashboard,configuration_hash,source_manifest_exact_or_alias,True
dashboard,random_seed,source_manifest_exact_or_alias,True
dashboard,calibration_dataset_id,source_manifest_exact_or_alias,True
dashboard,ticker_metadata_version,source_manifest_exact_or_alias,True
dashboard,regime_calendar_version,source_manifest_exact_or_alias,True
dashboard,scenario_ids,source_manifest_exact_or_alias,True
dashboard,cost_model_version,source_manifest_exact_or_alias,True
dashboard,latency_model_version,source_manifest_exact_or_alias,True
dashboard,creation_timestamp,source_manifest_exact_or_alias,True
duckdb,generator_version,source_manifest_exact_or_alias,True
duckdb,configuration_hash,source_manifest_exact_or_alias,True
duckdb,random_seed,source_manifest_exact_or_alias,True
duckdb,calibration_dataset_id,source_manifest_exact_or_alias,True
duckdb,ticker_metadata_version,source_manifest_exact_or_alias,True
duckdb,regime_calendar_version,source_manifest_exact_or_alias,True
duckdb,scenario_ids,source_manifest_exact_or_alias,True
duckdb,cost_model_version,source_manifest_exact_or_alias,True
duckdb,latency_model_version,source_manifest_exact_or_alias,True
duckdb,creation_timestamp,source_manifest_exact_or_alias,True
