trade_date,exchange,symbol,parquet_files,bytes,first_file,last_file
2026-07-13,NSE,INFY,1569,56702770,trade_date=2026-07-13/exchange=NSE/symbol=INFY/part-034503_117898-000018.parquet,trade_date=2026-07-13/exchange=NSE/symbol=INFY/part-100123_638331-050191.parquet
2026-07-13,NSE,ITBEES,1569,54430478,trade_date=2026-07-13/exchange=NSE/symbol=ITBEES/part-034517_017153-000048.parquet,trade_date=2026-07-13/exchange=NSE/symbol=ITBEES/part-100123_781513-050192.parquet
2026-07-13,NSE,ITC,1569,54356124,trade_date=2026-07-13/exchange=NSE/symbol=ITC/part-034503_268298-000019.parquet,trade_date=2026-07-13/exchange=NSE/symbol=ITC/part-100123_923122-050193.parquet
2026-07-13,NSE,JUNIORBEES,1568,54832707,trade_date=2026-07-13/exchange=NSE/symbol=JUNIORBEES/part-034517_282487-000050.parquet,trade_date=2026-07-13/exchange=NSE/symbol=JUNIORBEES/part-100124_062827-050194.parquet
2026-07-13,NSE,KOTAKBANK,1569,54705403,trade_date=2026-07-13/exchange=NSE/symbol=KOTAKBANK/part-034503_409193-000020.parquet,trade_date=2026-07-13/exchange=NSE/symbol=KOTAKBANK/part-100124_217580-050195.parquet
2026-07-13,NSE,LT,1569,55064314,trade_date=2026-07-13/exchange=NSE/symbol=LT/part-034503_545025-000021.parquet,trade_date=2026-07-13/exchange=NSE/symbol=LT/part-100124_362972-050196.parquet
2026-07-13,NSE,M&M,1569,55603819,trade_date=2026-07-13/exchange=NSE/symbol=M&M/part-034503_695120-000022.parquet,trade_date=2026-07-13/exchange=NSE/symbol=M&M/part-100141_602057-050210.parquet
2026-07-13,NSE,MARUTI,1569,55534811,trade_date=2026-07-13/exchange=NSE/symbol=MARUTI/part-034503_823825-000023.parquet,trade_date=2026-07-13/exchange=NSE/symbol=MARUTI/part-100124_507989-050197.parquet
2026-07-13,NSE,NESTLEIND,1569,54577884,trade_date=2026-07-13/exchange=NSE/symbol=NESTLEIND/part-034503_950077-000024.parquet,trade_date=2026-07-13/exchange=NSE/symbol=NESTLEIND/part-100124_654903-050198.parquet
2026-07-13,NSE,NIFTYBEES,1568,55113499,trade_date=2026-07-13/exchange=NSE/symbol=NIFTYBEES/part-034518_008261-000056.parquet,trade_date=2026-07-13/exchange=NSE/symbol=NIFTYBEES/part-100124_794529-050199.parquet
2026-07-13,NSE,ONGC,1569,54856635,trade_date=2026-07-13/exchange=NSE/symbol=ONGC/part-034504_083380-000025.parquet,trade_date=2026-07-13/exchange=NSE/symbol=ONGC/part-100124_949284-050200.parquet
2026-07-13,NSE,RELIANCE,1569,55637533,trade_date=2026-07-13/exchange=NSE/symbol=RELIANCE/part-034504_243903-000026.parquet,trade_date=2026-07-13/exchange=NSE/symbol=RELIANCE/part-100108_778994-050179.parquet
2026-07-13,NSE,SBIN,1569,55549327,trade_date=2026-07-13/exchange=NSE/symbol=SBIN/part-034504_383495-000027.parquet,trade_date=2026-07-13/exchange=NSE/symbol=SBIN/part-100125_096592-050201.parquet
2026-07-13,NSE,SUNPHARMA,1569,54762618,trade_date=2026-07-13/exchange=NSE/symbol=SUNPHARMA/part-034504_524718-000028.parquet,trade_date=2026-07-13/exchange=NSE/symbol=SUNPHARMA/part-100125_256362-050202.parquet
2026-07-13,NSE,TCS,1569,56845524,trade_date=2026-07-13/exchange=NSE/symbol=TCS/part-034504_658177-000029.parquet,trade_date=2026-07-13/exchange=NSE/symbol=TCS/part-100108_924738-050180.parquet
2026-07-13,NSE,TECHM,1569,55179402,trade_date=2026-07-13/exchange=NSE/symbol=TECHM/part-034504_798344-000030.parquet,trade_date=2026-07-13/exchange=NSE/symbol=TECHM/part-100125_418803-050203.parquet
2026-07-13,NSE,ULTRACEMCO,1569,54242826,trade_date=2026-07-13/exchange=NSE/symbol=ULTRACEMCO/part-034504_922769-000031.parquet,trade_date=2026-07-13/exchange=NSE/symbol=ULTRACEMCO/part-100125_566742-050204.parquet
2026-07-13,NSE,WIPRO,1569,55414740,trade_date=2026-07-13/exchange=NSE/symbol=WIPRO/part-034505_052199-000032.parquet,trade_date=2026-07-13/exchange=NSE/symbol=WIPRO/part-100125_705145-050205.parquet
