candidate_id,family_id,cost_profile,scenario_rows,scheduled_event_rows,symbols,realized_net_pnl_inr,scheduled_notional_inr,avg_net_edge_bps,avg_depth_beyond_l1_qty_imbalance,avg_level_weighted_depth_imbalance,avg_spread_bps,return_on_scheduled_notional_bps
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p6_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost150,48,300,5,-10102.245044293386,14350000.0,-7.014485135098751,0.5567658397926188,0.4447734291216616,1.5401235200383405,-7.039892016929189
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p6_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost150,48,324,5,-10214.214122907408,15750000.0,-6.356313751451103,0.5552588080257276,0.4451986830926095,1.559799522777967,-6.485215316131687
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p5_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost150,48,408,6,-11700.224258109723,19750000.0,-5.760131574792915,0.5612040526390172,0.46574623977879764,1.564464022100216,-5.924164181321379
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p6_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,cost150,48,408,8,-14149.426410007225,19350000.0,-7.201356347057508,0.5793923843946807,0.4874446192398305,2.8129673345507213,-7.312365069771175
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,cost150,84,444,8,-15486.515440856916,21000000.0,-7.274508795993725,0.5714858750993811,0.4860050423999948,2.778495484630208,-7.374531162312818
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,cost150,60,300,7,-16313.605318014977,14137500.0,-11.551110466991515,0.5684240131774291,0.5819640862289658,3.9532371020291985,-11.539243372601222
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p6_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,cost150,84,276,6,-17545.20742129271,13000000.0,-13.583061677136708,0.6130877267426078,0.6459493966209555,4.026595401916876,-13.496313400994392
P268_P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR_H10_IQ0p9_SQ0p75_SPMID,P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR,cost150,96,1128,11,-24439.782575567275,52250000.0,-4.482426184258574,-0.31411685436842857,-0.335528036485456,2.7161527653627986,-4.677470349390866
P268_P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR_H10_IQ0p75_SQ0p75_SPMID,P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR,cost150,96,1284,11,-31384.11666563378,58375000.0,-5.454517474227736,-0.17685892582803614,-0.1535484990199793,2.6232443521530415,-5.376294075483304
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,cost200,84,252,4,-3365.480283658752,11525000.0,-3.39463952885343,0.5466819106035098,0.619466423270732,4.4740938545955,-2.920156428337312
